trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,dummy_date
21308544,U.T. Student Membership,213,2019-11-27 11:17:18 UTC,4061,Lakeshore/Austin Hostel,4062,Lakeshore/Pleasant Valley,2,2022-04-22
21310203,Local365,2130,2019-11-27 18:27:12 UTC,4057,"6th/Chalmers ",2544,East 6th/Pedernales,4,2022-04-22
21309658,Explorer,430,2019-11-27 15:34:01 UTC,3791,Lake Austin/Enfield,3790,Lake Austin Blvd/Deep Eddy,8,2022-04-22
21309227,Explorer,963,2019-11-27 13:52:45 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,3791,Lake Austin/Enfield,30,2022-04-22
21309284,Explorer,430,2019-11-27 14:03:57 UTC,3377,Veterans/Atlanta @ MoPac Ped Bridge,3791,Lake Austin/Enfield,20,2022-04-22
21308183,Explorer,1551,2019-11-27 09:13:24 UTC,2504,South Congress/Elizabeth,4060,Red River/Cesar Chavez @ The Fairmont,14,2022-04-22
21308175,Explorer,2122B,2019-11-27 09:11:35 UTC,2504,South Congress/Elizabeth,4060,Red River/Cesar Chavez @ The Fairmont,16,2022-04-22
21309393,Explorer,1531,2019-11-27 14:31:39 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,13,2022-04-22
21309390,Explorer,920,2019-11-27 14:31:20 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,13,2022-04-22
21307883,Local365,865,2019-11-27 06:46:19 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2494,2nd/Congress,4,2022-04-22
21307961,Local365,160,2019-11-27 07:35:14 UTC,2552,3rd/West,2494,2nd/Congress,3,2022-04-22
21307897,Local365,110G,2019-11-27 06:50:30 UTC,2552,3rd/West,2495,4th/Congress,4,2022-04-22
21308222,Local365,109,2019-11-27 09:29:39 UTC,2552,3rd/West,2495,4th/Congress,4,2022-04-22
21307983,Local365,650,2019-11-27 07:48:46 UTC,2542,Plaza Saltillo,2496,8th/Congress,11,2022-04-22
21308989,Local365+Guest Pass,432,2019-11-27 12:57:53 UTC,2707,Rainey/Cummings,2501,5th/Bowie,13,2022-04-22
21309070,Single Trip (Pay-as-you-ride),893,2019-11-27 13:13:19 UTC,2574,Zilker Park,2503,South Congress/James,29,2022-04-22
