trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,dummy_date
21300987,Explorer,647,2019-11-25 13:37:48 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,3,2024-01-01
21300048,Local365,386,2019-11-25 11:43:00 UTC,4057,6th/Chalmers ,4047,8th/Lavaca,12,2024-01-01
21300259,Pay-as-you-ride,278,2019-11-25 12:05:23 UTC,4059,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,54,2024-01-01
21300571,24 Hour Walk Up Pass,647,2019-11-25 12:47:27 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,46,2024-01-01
21298475,Local365,397,2019-11-25 02:17:26 UTC,3635,13th/San Antonio,3635,13th/San Antonio,1,2024-01-01
21301635,Single Trip (Pay-as-you-ride),278,2019-11-25 14:57:55 UTC,4059,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,28,2024-01-01
21303009,Single Trip (Pay-as-you-ride),647,2019-11-25 18:10:42 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,18,2024-01-01
21300315,Pay-as-you-ride,226,2019-11-25 12:12:43 UTC,4059,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,47,2024-01-01
21300318,Pay-as-you-ride,1932,2019-11-25 12:13:01 UTC,4059,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,46,2024-01-01
21301646,Single Trip (Pay-as-you-ride),1932,2019-11-25 14:59:19 UTC,4059,Nash Hernandez/East @ RBJ South,4059,Nash Hernandez/East @ RBJ South,30,2024-01-01
21299447,Local365,201,2019-11-25 09:55:13 UTC,2569,East 11th/San Marcos,4051,10th/Red River,4,2024-01-01
21302513,Local365,14264,2019-11-25 16:54:02 UTC,3619,6th/Congress,4048,South Congress @ Bouldin Creek,5,2024-01-01
21301276,Single Trip (Pay-as-you-ride),152,2019-11-25 14:12:30 UTC,3377,Veterans/Atlanta @ MoPac Ped Bridge,3294,6th/Lavaca,33,2024-01-01
21301341,Single Trip (Pay-as-you-ride),387,2019-11-25 14:17:42 UTC,3377,Veterans/Atlanta @ MoPac Ped Bridge,3294,6th/Lavaca,28,2024-01-01
21301329,Single Trip (Pay-as-you-ride),1850,2019-11-25 14:16:46 UTC,3377,Veterans/Atlanta @ MoPac Ped Bridge,3294,6th/Lavaca,29,2024-01-01
21303308,Single Trip (Pay-as-you-ride),272G,2019-11-25 19:28:00 UTC,3684,Cesar Chavez/Congress,3294,6th/Lavaca,9,2024-01-01
21302854,Local30,969,2019-11-25 17:42:10 UTC,3686,Sterzing/Barton Springs,4058,Hollow Creek/Barton Hills,6,2024-01-01
21300042,U.T. Student Membership,1803,2019-11-25 11:41:44 UTC,3687,Boardwalk West,4062,Lakeshore/Pleasant Valley,148,2024-01-01
21302658,Local365,709,2019-11-25 17:14:49 UTC,2711,Barton Springs/Kinney,4058,Hollow Creek/Barton Hills,19,2024-01-01
21300892,Local365,328G,2019-11-25 13:24:12 UTC,2495,4th/Congress,4047,8th/Lavaca,15,2024-01-01
21301098,24 Hour Walk Up Pass,311,2019-11-25 13:50:30 UTC,2501,5th/Bowie,3660,East 6th/Medina,50,2024-01-01
21301083,Pay-as-you-ride,180,2019-11-25 13:48:50 UTC,2501,5th/Bowie,3660,East 6th/Medina,52,2024-01-01
21298474,Local365,2326,2019-11-25 02:13:27 UTC,2547,21st/Guadalupe,3635,13th/San Antonio,4,2024-01-01
21303443,Local365,113G,2019-11-25 20:08:26 UTC,2547,21st/Guadalupe,3635,13th/San Antonio,13,2024-01-01
21300402,Local365,148G,2019-11-25 12:23:49 UTC,2552,3rd/West,4050,5th/Campbell,11,2024-01-01
21301492,Single Trip (Pay-as-you-ride),298,2019-11-25 14:35:53 UTC,2552,3rd/West,3294,6th/Lavaca,10,2024-01-01
21300943,Explorer,272G,2019-11-25 13:31:50 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,12,2024-01-01
21300940,Explorer,375G,2019-11-25 13:31:40 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2494,2nd/Congress,12,2024-01-01
21298682,Local365,160,2019-11-25 07:42:31 UTC,3621,3rd/Nueces,2494,2nd/Congress,3,2024-01-01
21301015,Single Trip (Pay-as-you-ride),588,2019-11-25 13:40:55 UTC,4062,Lakeshore/Pleasant Valley,2495,4th/Congress,38,2024-01-01
21301034,Single Trip (Pay-as-you-ride),428,2019-11-25 13:42:23 UTC,4062,Lakeshore/Pleasant Valley,2495,4th/Congress,36,2024-01-01
21300613,Local365,229G,2019-11-25 12:53:05 UTC,2495,4th/Congress,2495,4th/Congress,23,2024-01-01
21300534,Local365,328G,2019-11-25 12:42:18 UTC,2501,5th/Bowie,2495,4th/Congress,42,2024-01-01
21301123,Local365,1439,2019-11-25 13:53:59 UTC,2540,17th/Guadalupe,2496,8th/Congress,24,2024-01-01
21299267,Explorer,138G,2019-11-25 09:24:42 UTC,2499,2nd/Lavaca @ City Hall,2499,2nd/Lavaca @ City Hall,1,2024-01-01
21303028,Local365,14264,2019-11-25 18:17:27 UTC,4048,South Congress @ Bouldin Creek,2501,5th/Bowie,11,2024-01-01
21300495,Local365,180,2019-11-25 12:34:41 UTC,4050,5th/Campbell,2501,5th/Bowie,7,2024-01-01
21303112,Local365,273,2019-11-25 18:33:09 UTC,3798,21st/Speedway @ PCL,2501,5th/Bowie,48,2024-01-01
21298573,Local365,104,2019-11-25 06:54:23 UTC,2549,South 1st/Riverside @ Long Center,2501,5th/Bowie,6,2024-01-01
21300066,Pay-as-you-ride,453,2019-11-25 11:45:16 UTC,2504,South Congress/Elizabeth,2504,South Congress/Elizabeth,4,2024-01-01
21299202,Local365+Guest Pass,28,2019-11-25 09:14:42 UTC,2707,Rainey/Cummings,2539,3rd/Trinity @ The Convention Center,6,2024-01-01
21302589,Local365,440,2019-11-25 17:06:21 UTC,2496,8th/Congress,2539,3rd/Trinity @ The Convention Center,6,2024-01-01
21302998,Local365,113G,2019-11-25 18:06:46 UTC,3794,Dean Keeton/Speedway ,2540,17th/Guadalupe,20,2024-01-01
21298687,Local30,277,2019-11-25 07:43:41 UTC,3798,21st/Speedway @ PCL,2540,17th/Guadalupe,6,2024-01-01
21300129,Local365,1439,2019-11-25 11:52:07 UTC,2547,21st/Guadalupe,2540,17th/Guadalupe,17,2024-01-01
21303021,Local365,1277,2019-11-25 18:14:34 UTC,3293,East 2nd/Pedernales,2542,Plaza Saltillo,6,2024-01-01
21303482,Local365,113G,2019-11-25 20:22:17 UTC,3635,13th/San Antonio,2547,21st/Guadalupe,6,2024-01-01
21302770,U.T. Student Membership,460,2019-11-25 17:29:08 UTC,2571,8th/Red River,2547,21st/Guadalupe,17,2024-01-01
21300508,Pay-as-you-ride,460,2019-11-25 12:37:27 UTC,2497,11th/Congress @ The Texas Capitol,2547,21st/Guadalupe,15,2024-01-01
21300498,Pay-as-you-ride,881,2019-11-25 12:34:55 UTC,2497,11th/Congress @ The Texas Capitol,2547,21st/Guadalupe,18,2024-01-01
21300605,Local365,4,2019-11-25 12:52:15 UTC,3793,28th/Rio Grande,2547,21st/Guadalupe,4,2024-01-01
21303147,U.T. Student Membership,2351,2019-11-25 18:42:55 UTC,3793,28th/Rio Grande,2547,21st/Guadalupe,7,2024-01-01
21303027,Local30,881,2019-11-25 18:16:57 UTC,3794,Dean Keeton/Speedway ,2547,21st/Guadalupe,6,2024-01-01
21303173,Local365,113G,2019-11-25 18:51:55 UTC,3798,21st/Speedway @ PCL,2547,21st/Guadalupe,27,2024-01-01
21303568,Local365,113G,2019-11-25 20:48:52 UTC,3798,21st/Speedway @ PCL,2547,21st/Guadalupe,5,2024-01-01
21303383,Local365,113G,2019-11-25 19:49:11 UTC,3799,23rd/San Jacinto @ DKR Stadium,2547,21st/Guadalupe,13,2024-01-01
21300024,Local365,1439,2019-11-25 11:35:56 UTC,3799,23rd/San Jacinto @ DKR Stadium,2547,21st/Guadalupe,11,2024-01-01
21299727,U.T. Student Membership,2077,2019-11-25 10:50:07 UTC,3841,23rd/Rio Grande,2548,Guadalupe/West Mall @ University Co-op,2,2024-01-01
21302921,Local365,2887,2019-11-25 17:51:53 UTC,3792,22nd/Pearl,2548,Guadalupe/West Mall @ University Co-op,4,2024-01-01
21302067,Local365,2351,2019-11-25 15:54:27 UTC,3794,Dean Keeton/Speedway ,2548,Guadalupe/West Mall @ University Co-op,4,2024-01-01
21301032,U.T. Student Membership,936,2019-11-25 13:42:16 UTC,3799,23rd/San Jacinto @ DKR Stadium,2548,Guadalupe/West Mall @ University Co-op,7,2024-01-01
21301250,Local365,105G,2019-11-25 14:09:39 UTC,3838,26th/Nueces,2548,Guadalupe/West Mall @ University Co-op,47,2024-01-01
21303852,Local365,113G,2019-11-25 22:51:31 UTC,3838,26th/Nueces,2548,Guadalupe/West Mall @ University Co-op,11,2024-01-01
21298853,Local365,2288,2019-11-25 08:21:54 UTC,3838,26th/Nueces,2548,Guadalupe/West Mall @ University Co-op,5,2024-01-01
21298476,Local365,2326,2019-11-25 02:18:50 UTC,3635,13th/San Antonio,2549,South 1st/Riverside @ Long Center,10,2024-01-01
21302638,Local365,646,2019-11-25 17:12:21 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2549,South 1st/Riverside @ Long Center,6,2024-01-01
21300564,Local365,815,2019-11-25 12:46:39 UTC,2575,Riverside/South Lamar,2549,South 1st/Riverside @ Long Center,4,2024-01-01
21300966,Local365,133,2019-11-25 13:34:22 UTC,3841,23rd/Rio Grande,2552,3rd/West,12,2024-01-01
21301289,Single Trip (Pay-as-you-ride),922,2019-11-25 14:13:42 UTC,3377,Veterans/Atlanta @ MoPac Ped Bridge,2552,3rd/West,22,2024-01-01
21302071,Local365,110G,2019-11-25 15:55:14 UTC,2711,Barton Springs/Kinney,2552,3rd/West,11,2024-01-01
21302755,Local365,014G,2019-11-25 17:27:11 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2552,3rd/West,10,2024-01-01
21300645,Local365,160,2019-11-25 12:57:26 UTC,2494,2nd/Congress,2552,3rd/West,4,2024-01-01
21299097,Local30,298,2019-11-25 09:01:40 UTC,2496,8th/Congress,2552,3rd/West,6,2024-01-01
21303116,Local365,668,2019-11-25 18:33:37 UTC,3798,21st/Speedway @ PCL,2552,3rd/West,26,2024-01-01
21300289,Local365,309G,2019-11-25 12:09:26 UTC,2540,17th/Guadalupe,2552,3rd/West,12,2024-01-01
21302937,Local365,133,2019-11-25 17:54:13 UTC,2552,3rd/West,2552,3rd/West,18,2024-01-01
21301072,U.T. Student Membership,12811,2019-11-25 13:47:06 UTC,3798,21st/Speedway @ PCL,2562,8th/San Jacinto,8,2024-01-01
21300857,Single Trip (Pay-as-you-ride),1434,2019-11-25 13:19:21 UTC,2563,Rainey/Davis,2563,Rainey/Davis,34,2024-01-01
21301977,Explorer,866,2019-11-25 15:41:54 UTC,2572,Barton Springs Pool,2563,Rainey/Davis,36,2024-01-01
21301980,Explorer,1524,2019-11-25 15:41:58 UTC,2572,Barton Springs Pool,2563,Rainey/Davis,36,2024-01-01
21302141,Local365,004G,2019-11-25 16:05:44 UTC,3621,3rd/Nueces,2565,6th/Trinity,8,2024-01-01
21300713,Local365,309G,2019-11-25 13:03:37 UTC,2552,3rd/West,2565,6th/Trinity,8,2024-01-01
21301887,Local365,326,2019-11-25 15:31:33 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,4,2024-01-01
21303098,Local365,1949,2019-11-25 18:30:40 UTC,3619,6th/Congress,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,5,2024-01-01
21298854,Local365,1834,2019-11-25 08:22:08 UTC,2549,South 1st/Riverside @ Long Center,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,5,2024-01-01
21299194,Local365,1834,2019-11-25 09:12:45 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2567,Barton Springs/Bouldin @ Palmer Auditorium,5,2024-01-01
21302694,Local365,326,2019-11-25 17:19:43 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2567,Barton Springs/Bouldin @ Palmer Auditorium,5,2024-01-01
21301742,Local365,369G,2019-11-25 15:13:35 UTC,2572,Barton Springs Pool,2567,Barton Springs/Bouldin @ Palmer Auditorium,12,2024-01-01
21298516,Local365,272G,2019-11-25 06:12:32 UTC,3687,Boardwalk West,2567,Barton Springs/Bouldin @ Palmer Auditorium,9,2024-01-01
21300701,Explorer,369G,2019-11-25 13:01:58 UTC,2711,Barton Springs/Kinney,2567,Barton Springs/Bouldin @ Palmer Auditorium,8,2024-01-01
21300702,Explorer,375G,2019-11-25 13:01:58 UTC,2711,Barton Springs/Kinney,2567,Barton Springs/Bouldin @ Palmer Auditorium,8,2024-01-01
21301620,Local365,326,2019-11-25 14:55:03 UTC,2711,Barton Springs/Kinney,2567,Barton Springs/Bouldin @ Palmer Auditorium,3,2024-01-01
21301790,Local365,920,2019-11-25 15:19:13 UTC,2544,East 6th/Pedernales,2567,Barton Springs/Bouldin @ Palmer Auditorium,18,2024-01-01
21303152,Local365,2283,2019-11-25 18:43:36 UTC,3291,11th/San Jacinto,2569,East 11th/San Marcos,4,2024-01-01
21301516,Single Trip (Pay-as-you-ride),696,2019-11-25 14:38:13 UTC,3684,Cesar Chavez/Congress,2569,East 11th/San Marcos,13,2024-01-01
21301520,Single Trip (Pay-as-you-ride),975,2019-11-25 14:38:44 UTC,3684,Cesar Chavez/Congress,2569,East 11th/San Marcos,13,2024-01-01
21302476,U.T. Student Membership,460,2019-11-25 16:47:30 UTC,2547,21st/Guadalupe,2571,8th/Red River,17,2024-01-01
21299730,Explorer,866,2019-11-25 10:50:20 UTC,2563,Rainey/Davis,2572,Barton Springs Pool,35,2024-01-01
21299760,Explorer,1524,2019-11-25 10:53:31 UTC,2563,Rainey/Davis,2572,Barton Springs Pool,32,2024-01-01
21301374,Local365,369G,2019-11-25 14:21:05 UTC,2567,Barton Springs/Bouldin @ Palmer Auditorium,2572,Barton Springs Pool,12,2024-01-01
21300700,Explorer,335G,2019-11-25 13:01:57 UTC,2572,Barton Springs Pool,2572,Barton Springs Pool,51,2024-01-01
21301221,Explorer,1524,2019-11-25 14:05:24 UTC,2572,Barton Springs Pool,2572,Barton Springs Pool,34,2024-01-01
21301247,Pay-as-you-ride,2274,2019-11-25 14:09:13 UTC,2572,Barton Springs Pool,2572,Barton Springs Pool,85,2024-01-01
21301220,Explorer,866,2019-11-25 14:04:53 UTC,2572,Barton Springs Pool,2572,Barton Springs Pool,35,2024-01-01
21301245,Pay-as-you-ride,335G,2019-11-25 14:08:52 UTC,2572,Barton Springs Pool,2572,Barton Springs Pool,86,2024-01-01
21301605,Local365,2828,2019-11-25 14:51:44 UTC,2552,3rd/West,2572,Barton Springs Pool,9,2024-01-01
21302807,Single Trip (Pay-as-you-ride),3541,2019-11-25 17:34:30 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,24,2024-01-01
21300200,24 Hour Walk Up Pass,610,2019-11-25 11:58:04 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,79,2024-01-01
21302799,Single Trip (Pay-as-you-ride),198,2019-11-25 17:33:35 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,25,2024-01-01
21300219,24 Hour Walk Up Pass,3541,2019-11-25 11:59:59 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,78,2024-01-01
21303880,24 Hour Walk Up Pass,1555,2019-11-25 23:04:43 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,46,2024-01-01
21299755,Single Trip (Pay-as-you-ride),1555,2019-11-25 10:52:46 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,29,2024-01-01
21299325,Single Trip (Pay-as-you-ride),3541,2019-11-25 09:35:52 UTC,2575,Riverside/South Lamar,2575,Riverside/South Lamar,30,2024-01-01
