trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,dummy_date
21307232,Local365,057G,2019-11-26 19:06:38 UTC,3793,28th/Rio Grande,3798,21st/Speedway @ PCL,9,2024-01-02
21304467,Local365,400,2019-11-26 09:13:53 UTC,3794,Dean Keeton/Speedway ,3798,21st/Speedway @ PCL,4,2024-01-02
21307119,Local365,4,2019-11-26 18:23:07 UTC,3795,Dean Keeton/Whitis,3798,21st/Speedway @ PCL,4,2024-01-02
21307771,U.T. Student Membership,571,2019-11-26 23:15:30 UTC,2548,Guadalupe/West Mall @ University Co-op,3798,21st/Speedway @ PCL,6,2024-01-02
21304394,U.T. Student Membership,110,2019-11-26 08:51:55 UTC,3838,26th/Nueces,3798,21st/Speedway @ PCL,5,2024-01-02
21306704,U.T. Student Membership,078G,2019-11-26 16:43:35 UTC,3838,26th/Nueces,3798,21st/Speedway @ PCL,6,2024-01-02
21304252,U.T. Student Membership,164,2019-11-26 08:01:09 UTC,3793,28th/Rio Grande,3799,23rd/San Jacinto @ DKR Stadium,7,2024-01-02
21305753,Local365,078G,2019-11-26 13:57:43 UTC,2495,4th/Congress,3838,26th/Nueces,38,2024-01-02
21304918,U.T. Student Membership,400,2019-11-26 11:12:46 UTC,3794,Dean Keeton/Speedway ,3838,26th/Nueces,4,2024-01-02
21303996,U.T. Student Membership,110,2019-11-26 01:03:45 UTC,3794,Dean Keeton/Speedway ,3838,26th/Nueces,3,2024-01-02
21307187,Local365,58,2019-11-26 18:51:55 UTC,3795,Dean Keeton/Whitis,3838,26th/Nueces,2,2024-01-02
21306086,Local365,078G,2019-11-26 14:50:14 UTC,3838,26th/Nueces,3838,26th/Nueces,15,2024-01-02
21307470,Local365,460,2019-11-26 20:33:05 UTC,2563,Rainey/Davis,3841,23rd/Rio Grande,32,2024-01-02
21305869,24 Hour Walk Up Pass,335G,2019-11-26 14:14:12 UTC,2572,Barton Springs Pool,3841,23rd/Rio Grande,44,2024-01-02
21305874,24 Hour Walk Up Pass,716,2019-11-26 14:15:05 UTC,2572,Barton Springs Pool,3841,23rd/Rio Grande,43,2024-01-02
21306359,U.T. Student Membership,349,2019-11-26 15:44:47 UTC,3792,22nd/Pearl,3841,23rd/Rio Grande,2,2024-01-02
21306858,Local365,2887,2019-11-26 17:17:53 UTC,3793,28th/Rio Grande,3841,23rd/Rio Grande,19,2024-01-02
21306214,U.T. Student Membership,936,2019-11-26 15:17:18 UTC,3794,Dean Keeton/Speedway ,3841,23rd/Rio Grande,4,2024-01-02
21307160,U.T. Student Membership,400,2019-11-26 18:40:32 UTC,3794,Dean Keeton/Speedway ,3841,23rd/Rio Grande,7,2024-01-02
21306782,U.T. Student Membership,156,2019-11-26 17:00:02 UTC,3795,Dean Keeton/Whitis,3841,23rd/Rio Grande,4,2024-01-02
21306617,Local365,460,2019-11-26 16:26:33 UTC,3798,21st/Speedway @ PCL,3841,23rd/Rio Grande,8,2024-01-02
21306622,U.T. Student Membership,040G,2019-11-26 16:27:21 UTC,3798,21st/Speedway @ PCL,3841,23rd/Rio Grande,7,2024-01-02
