mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.001798248291015625,0.0004004749909839421,0.00160064697265625,0.0004883466384363134,1,linear,"{'C': 1, 'kernel': 'linear'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9800000000000001,0.016329931618554516,1
0.0019974708557128906,3.019550361440194e-06,0.0014018535614013672,0.0004901180049516062,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9666666666666666,0.02108185106778919,4
0.0015986442565917968,0.0004896329028812951,0.0016019344329833984,0.0004871628477283401,10,linear,"{'C': 10, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,3
0.001998281478881836,1.6352108191950082e-06,0.0016027927398681641,0.0004902915067302464,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9800000000000001,0.016329931618554516,1
